线段编号,无人机编号,关联任务,线段类型,起点X_m,起点Y_m,终点X_m,终点Y_m,线段长度_m,速度_m_s,单位路径药量_L_m,开始时间_min,结束时间_min,起始续航_min,结束续航_min,起始药量_L,结束药量_L
UAV-1-L162,UAV-1,D12,覆盖连接段,318.21,413.8,410.13,456.66,101.42,3.0,0.004798,42.6808,43.2442,4.7779,4.2145,10.894,10.4073
UAV-1-L163,UAV-1,D12,覆盖喷洒段,410.13,456.66,328.69,418.68,89.86,3.0,0.004798,43.2442,43.7434,4.2145,3.7153,10.4073,9.9761
UAV-1-L164,UAV-1,D12,覆盖连接段,328.69,418.68,301.46,411.41,28.18,3.0,0.004798,43.7434,43.9,3.7153,3.5587,9.9761,9.8409
UAV-1-L165,UAV-1,D12,覆盖喷洒段,301.46,411.41,318.68,419.45,19.0,3.0,0.004798,43.9,44.0056,3.5587,3.4531,9.8409,9.7497
UAV-1-L166,UAV-1,D12,覆盖连接段,318.68,419.45,392.61,453.92,81.57,3.0,0.004798,44.0056,44.4587,3.4531,3.0,9.7497,9.3583
UAV-1-L167,UAV-1,D12,补给转场-去程,392.61,453.92,423.62,429.66,39.37,6.0,0.0,44.4587,44.5681,3.0,2.8906,9.3583,9.3583
UAV-1-L168,UAV-1,D12,补给转场-返程,423.62,429.66,392.61,453.92,39.37,6.0,0.0,44.5681,44.6774,25.0,24.8906,30.0,30.0
UAV-1-L169,UAV-1,D12,覆盖连接段,392.61,453.92,406.87,460.57,15.74,3.0,0.004798,44.6774,44.7649,24.8906,24.8032,30.0,29.9245
UAV-1-L170,UAV-1,D12,覆盖喷洒段,406.87,460.57,329.16,424.33,85.75,3.0,0.004798,44.7649,45.2413,24.8032,24.3268,29.9245,29.513
UAV-1-L171,UAV-1,D12,覆盖连接段,329.16,424.33,300.96,416.61,29.23,3.0,0.004798,45.2413,45.4037,24.3268,24.1644,29.513,29.3727
UAV-1-L172,UAV-1,D12,覆盖喷洒段,300.96,416.61,319.15,425.1,20.07,3.0,0.004798,45.4037,45.5152,24.1644,24.0529,29.3727,29.2764
UAV-1-L173,UAV-1,D12,覆盖连接段,319.15,425.1,403.22,464.29,92.75,3.0,0.004798,45.5152,46.0305,24.0529,23.5376,29.2764,28.8313
UAV-1-L174,UAV-1,D12,覆盖喷洒段,403.22,464.29,329.63,429.98,81.19,3.0,0.004798,46.0305,46.4815,23.5376,23.0865,28.8313,28.4417
UAV-1-L175,UAV-1,D12,覆盖连接段,329.63,429.98,300.92,422.02,29.8,3.0,0.004798,46.4815,46.6471,23.0865,22.921,28.4417,28.2988
UAV-1-L176,UAV-1,D12,覆盖喷洒段,300.92,422.02,319.63,430.74,20.64,3.0,0.004798,46.6471,46.7618,22.921,22.8063,28.2988,28.1997
UAV-1-L177,UAV-1,D12,覆盖连接段,319.63,430.74,399.1,467.8,87.69,3.0,0.004798,46.7618,47.2489,22.8063,22.3191,28.1997,27.779
UAV-1-L178,UAV-1,D12,覆盖喷洒段,399.1,467.8,330.1,435.63,76.13,3.0,0.004798,47.2489,47.6718,22.3191,21.8962,27.779,27.4137
UAV-1-L179,UAV-1,D12,覆盖连接段,330.1,435.63,301.39,427.67,29.8,3.0,0.004798,47.6718,47.8374,21.8962,21.7307,27.4137,27.2707
UAV-1-L180,UAV-1,D12,覆盖喷洒段,301.39,427.67,320.1,436.39,20.65,3.0,0.004798,47.8374,47.9521,21.7307,21.616,27.2707,27.1716
UAV-1-L181,UAV-1,D12,覆盖连接段,320.1,436.39,394.47,471.07,82.05,3.0,0.004798,47.9521,48.408,21.616,21.1601,27.1716,26.7779
UAV-1-L182,UAV-1,D12,覆盖喷洒段,394.47,471.07,330.58,441.28,70.49,3.0,0.004798,48.408,48.7996,21.1601,20.7685,26.7779,26.4396
UAV-1-L183,UAV-1,D12,覆盖连接段,330.58,441.28,302.46,433.6,29.15,3.0,0.004798,48.7996,48.9615,20.7685,20.6065,26.4396,26.2997
UAV-1-L184,UAV-1,D12,覆盖喷洒段,302.46,433.6,320.57,442.04,19.98,3.0,0.004798,48.9615,49.0725,20.6065,20.4955,26.2997,26.2039
UAV-1-L185,UAV-1,D12,覆盖连接段,320.57,442.04,389.23,474.06,75.76,3.0,0.004798,49.0725,49.4934,20.4955,20.0746,26.2039,25.8403
UAV-1-L186,UAV-1,D12,覆盖喷洒段,389.23,474.06,331.05,446.93,64.2,3.0,0.004798,49.4934,49.8501,20.0746,19.718,25.8403,25.5323
UAV-1-L187,UAV-1,D12,覆盖连接段,331.05,446.93,304.29,439.88,27.67,3.0,0.004798,49.8501,50.0038,19.718,19.5642,25.5323,25.3995
UAV-1-L188,UAV-1,D12,覆盖喷洒段,304.29,439.88,321.04,447.69,18.48,3.0,0.004798,50.0038,50.1065,19.5642,19.4616,25.3995,25.3108
UAV-1-L189,UAV-1,D12,覆盖连接段,321.04,447.69,383.26,476.7,68.64,3.0,0.004798,50.1065,50.4879,19.4616,19.0802,25.3108,24.9814
UAV-1-L190,UAV-1,D12,覆盖喷洒段,383.26,476.7,331.52,452.58,57.08,3.0,0.004798,50.4879,50.805,19.0802,18.7631,24.9814,24.7075
UAV-1-L191,UAV-1,D12,覆盖连接段,331.52,452.58,307.11,446.62,25.13,3.0,0.004798,50.805,50.9446,18.7631,18.6235,24.7075,24.5869
UAV-1-L192,UAV-1,D12,覆盖喷洒段,307.11,446.62,321.52,453.34,15.9,3.0,0.004798,50.9446,51.0329,18.6235,18.5351,24.5869,24.5106
UAV-1-L193,UAV-1,D12,覆盖连接段,321.52,453.34,376.27,478.87,60.41,3.0,0.004798,51.0329,51.3685,18.5351,18.1995,24.5106,24.2208
UAV-1-L194,UAV-1,D12,覆盖喷洒段,376.27,478.87,331.99,458.22,48.85,3.0,0.004798,51.3685,51.6399,18.1995,17.9282,24.2208,23.9864
UAV-1-L195,UAV-1,D12,覆盖连接段,331.99,458.22,311.46,454.08,20.95,3.0,0.004798,51.6399,51.7563,17.9282,17.8118,23.9864,23.8859
UAV-1-L196,UAV-1,D12,覆盖喷洒段,311.46,454.08,321.99,458.99,11.62,3.0,0.004798,51.7563,51.8208,17.8118,17.7473,23.8859,23.8301
UAV-1-L197,UAV-1,D12,覆盖连接段,321.99,458.99,367.77,480.34,50.52,3.0,0.004798,51.8208,52.1014,17.7473,17.4666,23.8301,23.5877
UAV-1-L198,UAV-1,D12,覆盖喷洒段,367.77,480.34,332.47,463.87,38.96,3.0,0.004798,52.1014,52.3179,17.4666,17.2502,23.5877,23.4008
UAV-1-L199,UAV-1,D12,覆盖连接段,332.47,463.87,318.82,462.94,13.68,3.0,0.004798,52.3179,52.3939,17.2502,17.1742,23.4008,23.3352
UAV-1-L200,UAV-1,D12,覆盖喷洒段,318.82,462.94,322.46,464.64,4.02,3.0,0.004798,52.3939,52.4162,17.1742,17.1519,23.3352,23.3159
UAV-1-L201,UAV-1,D12,覆盖连接段,322.46,464.64,356.24,480.39,37.27,3.0,0.004798,52.4162,52.6232,17.1519,16.9448,23.3159,23.1371
UAV-1-L202,UAV-1,D12,覆盖喷洒段,356.24,480.39,332.94,469.52,25.71,3.0,0.004798,52.6232,52.766,16.9448,16.802,23.1371,23.0137
UAV-1-L203,UAV-1,D09,飞行-区域间,332.94,469.52,266.91,302.41,179.68,6.0,0.0,52.766,53.2652,16.802,16.3029,23.0137,23.0137
UAV-1-L204,UAV-1,D09,覆盖喷洒段,266.91,302.41,287.4,311.97,22.62,3.0,0.008328,53.2652,53.3908,16.3029,16.1772,23.0137,22.8254
UAV-1-L205,UAV-1,D09,覆盖连接段,287.4,311.97,286.64,317.04,5.13,3.0,0.008328,53.3908,53.4193,16.1772,16.1487,22.8254,22.7826
UAV-1-L206,UAV-1,D09,覆盖喷洒段,286.64,317.04,256.85,303.15,32.88,3.0,0.008328,53.4193,53.602,16.1487,15.9661,22.7826,22.5088
UAV-1-L207,UAV-1,D09,覆盖连接段,256.85,303.15,249.14,304.98,7.92,3.0,0.008328,53.602,53.646,15.9661,15.9221,22.5088,22.4429
UAV-1-L208,UAV-1,D09,覆盖喷洒段,249.14,304.98,286.7,322.5,41.44,3.0,0.008328,53.646,53.8762,15.9221,15.6919,22.4429,22.0978
UAV-1-L209,UAV-1,D09,覆盖连接段,286.7,322.5,287.79,328.43,6.04,3.0,0.008328,53.8762,53.9097,15.6919,15.6583,22.0978,22.0475
UAV-1-L210,UAV-1,D09,覆盖喷洒段,287.79,328.43,242.73,307.42,49.72,3.0,0.008328,53.9097,54.1859,15.6583,15.3821,22.0475,21.6335
UAV-1-L211,UAV-1,D09,覆盖连接段,242.73,307.42,255.21,318.67,16.8,3.0,0.008328,54.1859,54.2793,15.3821,15.2888,21.6335,21.4936
UAV-1-L212,UAV-1,D09,覆盖喷洒段,255.21,318.67,290.45,335.1,38.88,3.0,0.008328,54.2793,54.4953,15.2888,15.0728,21.4936,21.1698
UAV-1-L213,UAV-1,D09,覆盖连接段,290.45,335.1,296.73,343.46,10.45,3.0,0.008328,54.4953,54.5533,15.0728,15.0147,21.1698,21.0828
UAV-1-L214,UAV-1,D09,覆盖喷洒段,296.73,343.46,272.99,332.39,26.19,3.0,0.008328,54.5533,54.6988,15.0147,14.8692,21.0828,20.8647
UAV-1-L215,UAV-1,D09,覆盖连接段,272.99,332.39,316.56,352.71,48.08,3.0,0.008328,54.6988,54.9659,14.8692,14.6021,20.8647,20.4643
UAV-1-L216,UAV-1,D09,覆盖喷洒段,316.56,352.71,322.44,355.45,6.48,3.0,0.008328,54.9659,55.0019,14.6021,14.5661,20.4643,20.4103
UAV-1-L217,UAV-1,D09,覆盖连接段,322.44,355.45,249.26,326.76,78.6,3.0,0.008328,55.0019,55.4386,14.5661,14.1294,20.4103,19.7557
UAV-1-L218,UAV-1,D09,覆盖喷洒段,249.26,326.76,228.2,316.93,23.24,3.0,0.008328,55.4386,55.5677,14.1294,14.0003,19.7557,19.5622
UAV-1-L219,UAV-1,D09,覆盖连接段,228.2,316.93,290.77,346.11,69.04,3.0,0.008328,55.5677,55.9513,14.0003,13.6167,19.5622,18.9872
UAV-1-L220,UAV-1,D09,覆盖喷洒段,290.77,346.11,322.51,360.91,35.02,3.0,0.008328,55.9513,56.1459,13.6167,13.4222,18.9872,18.6956
UAV-1-L221,UAV-1,D09,覆盖连接段,322.51,360.91,267.05,340.48,59.11,3.0,0.008328,56.1459,56.4743,13.4222,13.0938,18.6956,18.2033
UAV-1-L222,UAV-1,D09,覆盖喷洒段,267.05,340.48,224.47,320.62,46.98,3.0,0.008328,56.4743,56.7353,13.0938,12.8328,18.2033,17.812
UAV-1-L223,UAV-1,D09,覆盖连接段,224.47,320.62,308.56,359.83,92.78,3.0,0.008328,56.7353,57.2507,12.8328,12.3173,17.812,17.0394
UAV-1-L224,UAV-1,D09,覆盖喷洒段,308.56,359.83,322.08,366.14,14.93,3.0,0.008328,57.2507,57.3337,12.3173,12.2344,17.0394,16.9151
UAV-1-L225,UAV-1,D09,覆盖连接段,322.08,366.14,284.83,354.2,39.13,3.0,0.008328,57.3337,57.551,12.2344,12.017,16.9151,16.5892
UAV-1-L226,UAV-1,D09,覆盖喷洒段,284.83,354.2,221.18,324.52,70.22,3.0,0.008328,57.551,57.9412,12.017,11.6269,16.5892,16.0044
UAV-1-L227,UAV-1,D09,覆盖连接段,221.18,324.52,218.32,328.61,4.99,3.0,0.008328,57.9412,57.9689,11.6269,11.5991,16.0044,15.9628
UAV-1-L228,UAV-1,D09,覆盖喷洒段,218.32,328.61,302.61,367.92,93.0,3.0,0.008328,57.9689,58.4856,11.5991,11.0825,15.9628,15.1884
UAV-1-L229,UAV-1,D09,覆盖连接段,302.61,367.92,315.32,379.27,17.05,3.0,0.008328,58.4856,58.5803,11.0825,10.9878,15.1884,15.0464
UAV-1-L230,UAV-1,D09,覆盖喷洒段,315.32,379.27,215.86,332.9,109.74,3.0,0.008328,58.5803,59.19,10.9878,10.3781,15.0464,14.1325
UAV-1-L231,UAV-1,D09,覆盖连接段,215.86,332.9,213.78,337.35,4.92,3.0,0.008328,59.19,59.2173,10.3781,10.3507,14.1325,14.0915
UAV-1-L232,UAV-1,D09,覆盖喷洒段,213.78,337.35,315.8,384.92,112.56,3.0,0.008328,59.2173,59.8426,10.3507,9.7254,14.0915,13.1542
UAV-1-L233,UAV-1,D09,覆盖连接段,315.8,384.92,313.65,389.35,4.92,3.0,0.008328,59.8426,59.87,9.7254,9.6981,13.1542,13.1132
UAV-1-L234,UAV-1,D09,覆盖喷洒段,313.65,389.35,212.1,342.0,112.04,3.0,0.008328,59.87,60.4924,9.6981,9.0756,13.1132,12.1801
UAV-1-L235,UAV-1,D09,覆盖连接段,212.1,342.0,210.82,346.83,5.0,3.0,0.008328,60.4924,60.5202,9.0756,9.0479,12.1801,12.1385
UAV-1-L236,UAV-1,D09,覆盖喷洒段,210.82,346.83,310.78,393.44,110.29,3.0,0.008328,60.5202,61.1329,9.0479,8.4351,12.1385,11.22
UAV-1-L237,UAV-1,D09,覆盖连接段,310.78,393.44,307.48,397.33,5.1,3.0,0.008328,61.1329,61.1613,8.4351,8.4068,11.22,11.1776
UAV-1-L238,UAV-1,D09,覆盖喷洒段,307.48,397.33,209.95,351.85,107.61,3.0,0.008328,61.1613,61.7591,8.4068,7.809,11.1776,10.2814
UAV-1-L239,UAV-1,D09,覆盖连接段,209.95,351.85,209.54,357.09,5.25,3.0,0.008328,61.7591,61.7883,7.809,7.7798,10.2814,10.2377
UAV-1-L240,UAV-1,D09,覆盖喷洒段,209.54,357.09,303.74,401.01,103.94,3.0,0.008328,61.7883,62.3657,7.7798,7.2023,10.2377,9.3721
UAV-1-L241,UAV-1,D09,覆盖连接段,303.74,401.01,299.49,404.46,5.47,3.0,0.008328,62.3657,62.3961,7.2023,7.172,9.3721,9.3265
UAV-1-L242,UAV-1,D09,覆盖喷洒段,299.49,404.46,209.62,362.56,99.16,3.0,0.008328,62.3961,62.947,7.172,6.6211,9.3265,8.5008
UAV-1-L243,UAV-1,D09,覆盖连接段,209.62,362.56,210.29,368.3,5.78,3.0,0.008328,62.947,62.9791,6.6211,6.589,8.5008,8.4527
UAV-1-L244,UAV-1,D09,覆盖喷洒段,210.29,368.3,294.67,407.64,93.1,3.0,0.008328,62.9791,63.4963,6.589,6.0718,8.4527,7.6774
UAV-1-L245,UAV-1,D09,覆盖连接段,294.67,407.64,289.14,410.5,6.22,3.0,0.008328,63.4963,63.5308,6.0718,6.0373,7.6774,7.6256
UAV-1-L246,UAV-1,D09,覆盖喷洒段,289.14,410.5,211.67,374.37,85.48,3.0,0.008328,63.5308,64.0057,6.0373,5.5623,7.6256,6.9137
UAV-1-L247,UAV-1,D09,覆盖连接段,211.67,374.37,213.94,380.86,6.88,3.0,0.008328,64.0057,64.0439,5.5623,5.5241,6.9137,6.8565
UAV-1-L248,UAV-1,D09,覆盖喷洒段,213.94,380.86,282.7,412.92,75.87,3.0,0.008328,64.0439,64.4654,5.5241,5.1026,6.8565,6.2246
UAV-1-L249,UAV-1,D09,覆盖连接段,282.7,412.92,274.94,414.73,7.97,3.0,0.008328,64.4654,64.5097,5.1026,5.0584,6.2246,6.1583
UAV-1-L250,UAV-1,D09,覆盖喷洒段,274.94,414.73,217.55,387.97,63.32,3.0,0.008328,64.5097,64.8615,5.0584,4.7066,6.1583,5.6309
UAV-1-L251,UAV-1,D09,覆盖连接段,217.55,387.97,223.54,396.19,10.17,3.0,0.008328,64.8615,64.918,4.7066,4.6501,5.6309,5.5463
UAV-1-L252,UAV-1,D09,覆盖喷洒段,223.54,396.19,264.78,415.42,45.51,3.0,0.008328,64.918,65.1708,4.6501,4.3973,5.5463,5.1673
UAV-1-L253,UAV-1,D17,飞行-区域间,264.78,415.42,110.78,193.79,269.88,6.0,0.0,65.1708,65.9205,4.3973,3.6476,5.1673,5.1673
UAV-1-L254,UAV-1,D17,覆盖喷洒段,110.78,193.79,143.12,208.88,35.69,3.0,0.007815,65.9205,66.1187,3.6476,3.4493,5.1673,4.8884
UAV-1-L255,UAV-1,D17,覆盖连接段,143.12,208.88,146.85,216.05,8.08,3.0,0.007815,66.1187,66.1636,3.4493,3.4044,4.8884,4.8252
UAV-1-L256,UAV-1,D17,覆盖喷洒段,146.85,216.05,102.89,195.54,48.51,3.0,0.007815,66.1636,66.4331,3.4044,3.1349,4.8252,4.4461
UAV-1-L257,UAV-1,D17,覆盖连接段,102.89,195.54,97.0,198.22,6.47,3.0,0.007815,66.4331,66.4691,3.1349,3.099,4.4461,4.3955
UAV-1-L258,UAV-1,D17,覆盖喷洒段,97.0,198.22,113.14,205.75,17.81,3.0,0.007815,66.4691,66.5681,3.099,3.0,4.3955,4.2563
UAV-1-L259,UAV-1,D17,补给转场-去程,113.14,205.75,423.62,429.66,382.79,6.0,0.0,66.5681,67.6314,3.0,1.9367,4.2563,4.2563
UAV-1-L260,UAV-1,D17,补给转场-返程,423.62,429.66,113.14,205.75,382.79,6.0,0.0,67.6314,68.6947,25.0,23.9367,30.0,30.0
UAV-1-L261,UAV-1,D17,覆盖喷洒段,113.14,205.75,148.58,222.28,39.1,3.0,0.007815,68.6947,68.9119,23.9367,23.7194,30.0,29.6944
UAV-1-L262,UAV-1,D17,覆盖连接段,148.58,222.28,149.13,227.96,5.71,3.0,0.007815,68.9119,68.9436,23.7194,23.6877,29.6944,29.6498
UAV-1-L263,UAV-1,D17,覆盖喷洒段,149.13,227.96,92.29,201.46,62.71,3.0,0.007815,68.9436,69.292,23.6877,23.3394,29.6498,29.1597
UAV-1-L264,UAV-1,D17,覆盖连接段,92.29,201.46,88.47,205.11,5.28,3.0,0.007815,69.292,69.3214,23.3394,23.31,29.1597,29.1184
UAV-1-L265,UAV-1,D17,覆盖喷洒段,88.47,205.11,148.8,233.24,66.57,3.0,0.007815,69.3214,69.6912,23.31,22.9402,29.1184,28.5982
UAV-1-L266,UAV-1,D17,覆盖连接段,148.8,233.24,147.74,238.17,5.05,3.0,0.007815,69.6912,69.7192,22.9402,22.9121,28.5982,28.5587
UAV-1-L267,UAV-1,D17,覆盖喷洒段,147.74,238.17,85.36,209.09,68.82,3.0,0.007815,69.7192,70.1016,22.9121,22.5298,28.5587,28.0208
UAV-1-L268,UAV-1,D17,覆盖连接段,85.36,209.09,82.92,213.38,4.94,3.0,0.007815,70.1016,70.129,22.5298,22.5024,28.0208,27.9823
UAV-1-L269,UAV-1,D17,覆盖喷洒段,82.92,213.38,146.03,242.8,69.63,3.0,0.007815,70.129,70.5158,22.5024,22.1155,27.9823,27.4381
UAV-1-L270,UAV-1,D17,覆盖连接段,146.03,242.8,143.68,247.14,4.93,3.0,0.007815,70.5158,70.5432,22.1155,22.0881,27.4381,27.3996
UAV-1-L271,UAV-1,D17,覆盖喷洒段,143.68,247.14,81.11,217.96,69.04,3.0,0.007815,70.5432,70.9268,22.0881,21.7046,27.3996,26.86
UAV-1-L272,UAV-1,D17,覆盖连接段,81.11,217.96,79.95,222.85,5.02,3.0,0.007815,70.9268,70.9547,21.7046,21.6767,26.86,26.8208
UAV-1-L273,UAV-1,D17,覆盖喷洒段,79.95,222.85,140.68,251.17,67.01,3.0,0.007815,70.9547,71.327,21.6767,21.3044,26.8208,26.297
UAV-1-L274,UAV-1,D17,覆盖连接段,140.68,251.17,136.97,254.87,5.24,3.0,0.007815,71.327,71.3561,21.3044,21.2753,26.297,26.2561
UAV-1-L275,UAV-1,D17,覆盖喷洒段,136.97,254.87,79.5,228.07,63.41,3.0,0.007815,71.3561,71.7084,21.2753,20.923,26.2561,25.7605
UAV-1-L276,UAV-1,D17,覆盖连接段,79.5,228.07,79.9,233.68,5.63,3.0,0.007815,71.7084,71.7396,20.923,20.8918,25.7605,25.7165
UAV-1-L277,UAV-1,D17,覆盖喷洒段,79.9,233.68,132.42,258.17,57.95,3.0,0.007815,71.7396,72.0616,20.8918,20.5698,25.7165,25.2636
UAV-1-L278,UAV-1,D17,覆盖连接段,132.42,258.17,126.74,260.95,6.32,3.0,0.007815,72.0616,72.0967,20.5698,20.5347,25.2636,25.2143
UAV-1-L279,UAV-1,D17,覆盖喷洒段,126.74,260.95,81.41,239.81,50.02,3.0,0.007815,72.0967,72.3746,20.5347,20.2568,25.2143,24.8233
UAV-1-L280,UAV-1,D17,覆盖连接段,81.41,239.81,84.73,246.79,7.72,3.0,0.007815,72.3746,72.4175,20.2568,20.2139,24.8233,24.763
UAV-1-L281,UAV-1,D17,覆盖喷洒段,84.73,246.79,119.26,262.89,38.1,3.0,0.007815,72.4175,72.6292,20.2139,20.0022,24.763,24.4652
UAV-1-L282,UAV-1,D17,覆盖连接段,119.26,262.89,106.46,262.35,12.81,3.0,0.007815,72.6292,72.7003,20.0022,19.931,24.4652,24.3651
UAV-1-L283,UAV-1,D17,覆盖喷洒段,106.46,262.35,93.39,256.26,14.42,3.0,0.007815,72.7003,72.7805,19.931,19.8509,24.3651,24.2523
UAV-1-L284,UAV-1,D19,飞行-区域间,93.39,256.26,357.75,172.94,277.18,6.0,0.0,72.7805,73.5504,19.8509,19.081,24.2523,24.2523
UAV-1-L285,UAV-1,D19,覆盖喷洒段,357.75,172.94,393.1,189.42,39.01,3.0,0.008407,73.5504,73.7671,19.081,18.8643,24.2523,23.9244
UAV-1-L286,UAV-1,D19,覆盖连接段,393.1,189.42,397.54,196.93,8.72,3.0,0.008407,73.7671,73.8155,18.8643,18.8158,23.9244,23.8511
UAV-1-L287,UAV-1,D19,覆盖喷洒段,397.54,196.93,349.15,174.36,53.4,3.0,0.008407,73.8155,74.1122,18.8158,18.5192,23.8511,23.4021
UAV-1-L288,UAV-1,D19,覆盖连接段,349.15,174.36,342.66,176.76,6.92,3.0,0.008407,74.1122,74.1507,18.5192,18.4807,23.4021,23.3439
UAV-1-L289,UAV-1,D19,覆盖喷洒段,342.66,176.76,399.88,203.44,63.14,3.0,0.008407,74.1507,74.5014,18.4807,18.1299,23.3439,22.8131
UAV-1-L290,UAV-1,D19,覆盖连接段,399.88,203.44,401.0,209.39,6.05,3.0,0.008407,74.5014,74.5351,18.1299,18.0963,22.8131,22.7622
UAV-1-L291,UAV-1,D19,覆盖喷洒段,401.0,209.39,337.37,179.72,70.2,3.0,0.008407,74.5351,74.925,18.0963,17.7063,22.7622,22.1721
UAV-1-L292,UAV-1,D19,覆盖连接段,337.37,179.72,332.96,183.1,5.55,3.0,0.008407,74.925,74.9559,17.7063,17.6755,22.1721,22.1254
UAV-1-L293,UAV-1,D19,覆盖喷洒段,332.96,183.1,401.25,214.94,75.34,3.0,0.008407,74.9559,75.3744,17.6755,17.2569,22.1254,21.492
UAV-1-L294,UAV-1,D19,覆盖连接段,401.25,214.94,400.79,220.16,5.24,3.0,0.008407,75.3744,75.4035,17.2569,17.2278,21.492,21.448
UAV-1-L295,UAV-1,D19,覆盖喷洒段,400.79,220.16,329.26,186.8,78.93,3.0,0.008407,75.4035,75.842,17.2278,16.7893,21.448,20.7844
UAV-1-L296,UAV-1,D19,覆盖连接段,329.26,186.8,326.16,190.78,5.05,3.0,0.008407,75.842,75.8701,16.7893,16.7613,20.7844,20.7419
UAV-1-L297,UAV-1,D19,覆盖喷洒段,326.16,190.78,399.74,225.09,81.18,3.0,0.008407,75.8701,76.3211,16.7613,16.3103,20.7419,20.0594
UAV-1-L298,UAV-1,D19,覆盖连接段,399.74,225.09,398.12,229.77,4.95,3.0,0.008407,76.3211,76.3486,16.3103,16.2828,20.0594,20.0178
UAV-1-L299,UAV-1,D19,覆盖喷洒段,398.12,229.77,323.62,195.03,82.21,3.0,0.008407,76.3486,76.8053,16.2828,15.8261,20.0178,19.3267
UAV-1-L300,UAV-1,D19,覆盖连接段,323.62,195.03,321.61,199.52,4.92,3.0,0.008407,76.8053,76.8326,15.8261,15.7988,19.3267,19.2853
UAV-1-L301,UAV-1,D19,覆盖喷洒段,321.61,199.52,395.97,234.19,82.04,3.0,0.008407,76.8326,77.2884,15.7988,15.343,19.2853,18.5956
UAV-1-L302,UAV-1,D19,覆盖连接段,395.97,234.19,393.27,238.36,4.97,3.0,0.008407,77.2884,77.316,15.343,15.3154,18.5956,18.5538
UAV-1-L303,UAV-1,D19,覆盖喷洒段,393.27,238.36,320.15,204.26,80.69,3.0,0.008407,77.316,77.7643,15.3154,14.8671,18.5538,17.8755
UAV-1-L304,UAV-1,D19,覆盖连接段,320.15,204.26,319.25,209.27,5.09,3.0,0.008407,77.7643,77.7925,14.8671,14.8388,17.8755,17.8327
UAV-1-L305,UAV-1,D19,覆盖喷洒段,319.25,209.27,390.02,242.27,78.08,3.0,0.008407,77.7925,78.2263,14.8388,14.4051,17.8327,17.1762
UAV-1-L306,UAV-1,D19,覆盖连接段,390.02,242.27,386.13,245.89,5.31,3.0,0.008407,78.2263,78.2558,14.4051,14.3756,17.1762,17.1316
UAV-1-L307,UAV-1,D19,覆盖喷洒段,386.13,245.89,318.98,214.58,74.09,3.0,0.008407,78.2558,78.6674,14.3756,13.964,17.1316,16.5087
UAV-1-L308,UAV-1,D19,覆盖连接段,318.98,214.58,319.45,220.22,5.67,3.0,0.008407,78.6674,78.6989,13.964,13.9325,16.5087,16.4611
UAV-1-L309,UAV-1,D19,覆盖喷洒段,319.45,220.22,381.5,249.16,68.46,3.0,0.008407,78.6989,79.0792,13.9325,13.5521,16.4611,15.8855
UAV-1-L310,UAV-1,D19,覆盖连接段,381.5,249.16,375.93,251.99,6.24,3.0,0.008407,79.0792,79.1139,13.5521,13.5174,15.8855,15.833
UAV-1-L311,UAV-1,D19,覆盖喷洒段,375.93,251.99,320.86,226.31,60.77,3.0,0.008407,79.1139,79.4515,13.5174,13.1798,15.833,15.3221
UAV-1-L312,UAV-1,D19,覆盖连接段,320.86,226.31,323.64,233.03,7.28,3.0,0.008407,79.4515,79.492,13.1798,13.1394,15.3221,15.2609
UAV-1-L313,UAV-1,D19,覆盖喷洒段,323.64,233.03,368.99,254.18,50.04,3.0,0.008407,79.492,79.77,13.1394,12.8614,15.2609,14.8402
UAV-1-L314,UAV-1,D19,覆盖连接段,368.99,254.18,359.41,255.14,9.63,3.0,0.008407,79.77,79.8235,12.8614,12.8079,14.8402,14.7593
UAV-1-L315,UAV-1,D19,覆盖喷洒段,359.41,255.14,329.06,240.99,33.49,3.0,0.008407,79.8235,80.0095,12.8079,12.6218,14.7593,14.4777
UAV-1-L316,UAV-1,D07,飞行-区域间,329.06,240.99,394.36,58.57,193.76,6.0,0.0,80.0095,80.5477,12.6218,12.0836,14.4777,14.4777
UAV-1-L317,UAV-1,D07,覆盖喷洒段,394.36,58.57,424.72,72.73,33.51,3.0,0.007782,80.5477,80.7339,12.0836,11.8975,14.4777,14.2169
UAV-1-L318,UAV-1,D07,覆盖连接段,424.72,72.73,427.99,79.68,7.68,3.0,0.007782,80.7339,80.7765,11.8975,11.8548,14.2169,14.1572
UAV-1-L319,UAV-1,D07,覆盖喷洒段,427.99,79.68,386.94,60.53,45.29,3.0,0.007782,80.7765,81.0282,11.8548,11.6032,14.1572,13.8047
UAV-1-L320,UAV-1,D07,覆盖连接段,386.94,60.53,381.46,63.41,6.19,3.0,0.007782,81.0282,81.0625,11.6032,11.5688,13.8047,13.7566
UAV-1-L321,UAV-1,D07,覆盖喷洒段,381.46,63.41,429.31,85.72,52.79,3.0,0.007782,81.0625,81.3558,11.5688,11.2755,13.7566,13.3457
UAV-1-L322,UAV-1,D07,覆盖连接段,429.31,85.72,429.45,91.22,5.5,3.0,0.007782,81.3558,81.3864,11.2755,11.245,13.3457,13.3029
UAV-1-L323,UAV-1,D07,覆盖喷洒段,429.45,91.22,377.16,66.83,57.7,3.0,0.007782,81.3864,81.7069,11.245,10.9244,13.3029,12.8539
